species,rep_taxid,organism_name,nirK_present,pcuac_present,nirK_rep_accession,pcuac_rep_accession,class
fulvimonas sp.,3045937,Fulvimonas sp. R45,1,0,WP_302071270.1,N/A,nirK_only
fulvimonas yonginensis,1495200,Fulvimonas yonginensis,1,0,WP_336808553.1,N/A,nirK_only
fulvivirga imtechensis,881893,Fulvivirga imtechensis;Fulvivirga imtechensis AK7,1,0,WP_009580742.1,N/A,nirK_only
fulvivirga kasyanovii,396812,Fulvivirga kasyanovii,1,0,WP_155174025.1,N/A,nirK_only
fundidesulfovibrio magnetotacticus,2730080,Fundidesulfovibrio magnetotacticus,1,0,WP_235956953.1,N/A,nirK_only
fundidesulfovibrio putealis,270496,Fundidesulfovibrio putealis;Fundidesulfovibrio putealis DSM 16056,1,0,WP_084502141.1,N/A,nirK_only
fundidesulfovibrio soli,2922716,Fundidesulfovibrio soli,1,0,WP_243439964.1,N/A,nirK_only
fundidesulfovibrio sp.,3434653,Fundidesulfovibrio sp. YSD1,1,0,WP_464315184.1,N/A,nirK_only
fuscibacter oryzae,2803939,Fuscibacter oryzae,1,1,WP_202661079.1,WP_202661378.1,both
fuscovulum ytuae,3042299,Fuscovulum ytuae,0,1,N/A,WP_281466717.1,pcuac_only
futiania mangrovi,2959716,Futiania mangrovi,1,1,WP_269333124.1,WP_269332496.1,both
gaiella occulta,1002870,Gaiella occulta,1,0,WP_181813540.1,N/A,nirK_only
gaiella sp.,2663207,Gaiella sp.,1,0,WP_472329985.1,N/A,nirK_only
galactobacter caseinivorans,2676123,Galactobacter caseinivorans,0,1,N/A,WP_121485389.1,pcuac_only
galactobacter sp.,2676125,Galactobacter sp.,0,1,N/A,WP_291278786.1,pcuac_only
galactobacter valiniphilus,2676122,Galactobacter valiniphilus,0,1,N/A,WP_394160697.1,pcuac_only
galbibacter galbibacter,379068,Galbibacter;Galbibacter orientalis;Galbibacter sp. L-19,1,0,WP_474507427.1,N/A,nirK_only
galbibacter marinus,555500,Galbibacter marinus,1,0,WP_008991078.1,N/A,nirK_only
galbibacter sp.,2918471,Galbibacter sp.,1,0,WP_324298167.1,N/A,nirK_only
galenea microaerophila,1136073,Galenea microaerophila,0,1,N/A,WP_459818339.1,pcuac_only
gallaecimonas kandeliae,3029055,Gallaecimonas kandeliae,0,1,N/A,WP_301497738.1,pcuac_only
gallibacterium anatis,750,Gallibacterium anatis,1,0,WP_285092797.1,N/A,nirK_only
gallibacterium genomosp.,155517,Gallibacterium genomosp. 2,1,0,WP_039134263.1,N/A,nirK_only
gallibacterium sp.,3469824,Gallibacterium sp. ZY190522,1,0,WP_458003149.1,N/A,nirK_only
gallionella capsiferriformans,370405,Gallionella capsiferriformans;Gallionella capsiferriformans ES-2,0,1,N/A,WP_013294010.1,pcuac_only
galliscardovia ingluviei,1769422,Galliscardovia ingluviei,1,0,WP_407464801.1,N/A,nirK_only
gammaproteobacteria aliidiomarina,2249757,Gammaproteobacteria;Aliidiomarina sp. B3213;Lysobacter sp. N42,0,1,N/A,WP_165831998.1,pcuac_only
gammaproteobacteria haliea,287487,Gammaproteobacteria;Haliea salexigens;Marinobacter metalliresistant,1,0,WP_341581976.1,N/A,nirK_only
gammaproteobacteria marinobacter,1597776,Gammaproteobacteria;Marinobacter salarius;Marinobacter sp. DS40M6;Marinobacter sp. C18;Marinobacter sp. NP-6;Pseudoalteromonas sp. GABNS16G;Marinobacter sp. MIT930201,0,1,N/A,WP_075195951.1,pcuac_only
gammaproteobacteria marinomonas,28255,Gammaproteobacteria;Marinomonas vaga;Rhodanobacter aciditrophus,0,1,N/A,WP_377366371.1,pcuac_only
gammaproteobacteria pseudomonas,1236,Gammaproteobacteria;Pseudomonas cerasi,0,1,N/A,WP_455918260.1,pcuac_only
gammaproteobacteria serratia,28151,Gammaproteobacteria;Serratia proteamaculans;Pseudomonas cerasi;Pseudomonas sp. 14P_5.3_Bac1,0,1,N/A,WP_262210638.1,pcuac_only
gandjariella thermophila,1931992,Gandjariella thermophila,1,0,WP_137814239.1,N/A,nirK_only
gaopeijia maritima,3119007,Gaopeijia maritima,1,0,WP_405277180.1,N/A,nirK_only
gaoshiqia sediminis,2986998,Gaoshiqia sediminis,1,0,WP_282590930.1,N/A,nirK_only
geitlerinema sp.,1173025,Geitlerinema sp. PCC 7407,1,0,WP_015170775.1,N/A,nirK_only
gelidibacter algens,49280,Gelidibacter algens,1,0,WP_066433472.1,N/A,nirK_only
gelidibacter gilvus,59602,Gelidibacter gilvus,1,0,WP_129016968.1,N/A,nirK_only
gelidibacter japonicus,1962232,Gelidibacter japonicus,1,0,WP_163515488.1,N/A,nirK_only
gelidibacter maritimus,2761487,Gelidibacter maritimus,1,0,WP_182201937.1,N/A,nirK_only
gelidibacter mesophilus,169050,Gelidibacter mesophilus;Gelidibacter mesophilus DSM 14095,1,0,WP_027124733.1,N/A,nirK_only
gelidibacter pelagius,2819985,Gelidibacter pelagius,1,0,WP_208233933.1,N/A,nirK_only
gelidibacter salicanalis,291193,Gelidibacter salicanalis,1,0,WP_146888984.1,N/A,nirK_only
gelidibacter sediminis,1608710,Gelidibacter sediminis,1,0,WP_133757711.1,N/A,nirK_only
gelidibacter sp.,2018083,Gelidibacter sp.,1,0,WP_449535633.1,N/A,nirK_only
gelidimonas denitrificans,3477653,Gelidimonas denitrificans,1,1,WP_472615400.1,WP_472614849.1,both
gelidimonas diazotrophica,3477654,Gelidimonas diazotrophica,1,1,WP_472633787.1,WP_472633172.1,both
gellertiella hungarica,1572859,Gellertiella hungarica,1,1,WP_246366041.1,WP_183365937.1,both
gellertiella sp.,3458776,Gellertiella sp. DMC107,1,1,WP_476047130.1,WP_476044930.1,both
geminicoccus flavidas,2506407,Geminicoccus flavidas,1,1,WP_235031309.1,WP_159716427.1,both
geminicoccus harenae,2498453,Geminicoccus harenae,0,1,N/A,WP_191062581.1,pcuac_only
geminicoccus roseus,404900,Geminicoccus roseus;Geminicoccus roseus DSM 18922,0,1,N/A,WP_157505584.1,pcuac_only
geminicoccus sp.,2024832,Geminicoccus sp.,0,1,N/A,WP_325728930.1,pcuac_only
geminocystis sp.,1617448,Geminocystis sp. NIES-3709,1,0,WP_066115852.1,N/A,nirK_only
gemmatimonas aurantiaca,173480,Gemmatimonas aurantiaca;Gemmatimonas aurantiaca T-27,1,1,WP_015894577.1,WP_052574474.1,both
gemmatimonas groenlandica,2732249,Gemmatimonas groenlandica,0,1,N/A,WP_171227394.1,pcuac_only
gemmatimonas phototrophica,1379270,Gemmatimonas phototrophica,0,1,N/A,WP_053333681.1,pcuac_only
gemmatimonas sp.,1962908,Gemmatimonas sp.,1,1,WP_461413842.1,WP_396203222.1,both
gemmobacter aquaticus,490185,Gemmobacter aquaticus,0,1,N/A,WP_146285149.1,pcuac_only
gemmobacter aquatilis,933059,Gemmobacter aquatilis,0,1,N/A,WP_091299871.1,pcuac_only
gemmobacter caeruleus,2595004,Gemmobacter caeruleus,0,1,N/A,WP_149140942.1,pcuac_only
gemmobacter denitrificans,3123040,Gemmobacter denitrificans,0,1,N/A,WP_335420122.1,pcuac_only
gemmobacter fulvus,2840474,Gemmobacter fulvus,1,1,WP_215505149.1,WP_215506910.1,both
gemmobacter lanyuensis,1054497,Gemmobacter lanyuensis,0,1,N/A,WP_189635167.1,pcuac_only
gemmobacter lutimaris,2306023,Gemmobacter lutimaris,0,1,N/A,WP_119133391.1,pcuac_only
gemmobacter megaterium,1086013,Gemmobacter megaterium,0,1,N/A,WP_076531662.1,pcuac_only
gemmobacter nectariphilus,220343,Gemmobacter nectariphilus;Gemmobacter nectariphilus DSM 15620,0,1,N/A,WP_051294297.1,pcuac_only
gemmobacter serpentinus,2652247,Gemmobacter serpentinus,1,1,WP_151720814.1,WP_226341111.1,both
gemmobacter sp.,1898957,Gemmobacter sp.,1,1,WP_323039599.1,WP_323041170.1,both
geoalkalibacter ferrihydriticus,392333,Geoalkalibacter ferrihydriticus;Geoalkalibacter ferrihydriticus DSM 17813,1,0,WP_139172107.1,N/A,nirK_only
geoalkalibacter halelectricus,2847045,Geoalkalibacter halelectricus,1,0,WP_429885247.1,N/A,nirK_only
geobacillus genomosp.,1921421,Geobacillus genomosp. 3,1,0,WP_020958905.1,N/A,nirK_only
geobacillus geobacillus,129339,Geobacillus;Geobacillus subterraneus;Geobacillus uzenensis,1,0,WP_063166576.1,N/A,nirK_only
geobacillus icigianus,1430331,Geobacillus icigianus,1,0,WP_033022757.1,N/A,nirK_only
geobacillus jurassicus,235932,Geobacillus jurassicus;Geobacillus jurassicus NBRC 107829,1,0,WP_066231105.1,N/A,nirK_only
geobacillus kaustophilus,1462,Geobacillus kaustophilus;Geobacillus kaustophilus GBlys,1,0,WP_033012866.1,N/A,nirK_only
geobacillus proteiniphilus,860353,Geobacillus proteiniphilus,1,0,WP_074043006.1,N/A,nirK_only
geobacillus sp.,1963025,Geobacillus sp. 46C-IIa,1,0,WP_081207799.1,N/A,nirK_only
geobacillus stearothermophilus,1422,Geobacillus stearothermophilus,1,0,WP_487164388.1,N/A,nirK_only
geobacillus subterraneus,129338,Geobacillus subterraneus,1,0,WP_184318344.1,N/A,nirK_only
geobacillus thermocatenulatus,33938,Geobacillus thermocatenulatus;Geobacillus thermocatenulatus GS-1,1,0,WP_025950027.1,N/A,nirK_only
geobacillus thermodenitrificans,33940,Geobacillus thermodenitrificans,1,0,WP_374717288.1,N/A,nirK_only
geobacillus thermoleovorans,33941,Geobacillus thermoleovorans;Geobacillus;Geobacillus sp. FJAT-46040,1,0,WP_096225698.1,N/A,nirK_only
geobacillus thermopakistaniensis,1408282,Geobacillus thermopakistaniensis,1,0,WP_023633806.1,N/A,nirK_only
geobacter sp.,46610,Geobacter sp.,1,0,WP_298439589.1,N/A,nirK_only
geochorda subterranea,3109564,Geochorda subterranea,1,1,WP_324670115.1,WP_324669114.1,both
geodermatophilus maliterrae,3162531,Geodermatophilus maliterrae,1,0,WP_369204050.1,N/A,nirK_only
geodermatophilus obscurus,1861,Geodermatophilus obscurus,1,0,WP_072921035.1,N/A,nirK_only
geodermatophilus sabuli,1564158,Geodermatophilus sabuli,1,0,WP_172442334.1,N/A,nirK_only
geodermatophilus sp.,2250575,Geodermatophilus sp. TF02-6,1,0,WP_199506388.1,N/A,nirK_only
geomicrobium halophilum,549000,Geomicrobium halophilum,1,0,WP_184403650.1,N/A,nirK_only
geomicrobium sediminis,1347788,Geomicrobium sediminis,1,0,WP_204698743.1,N/A,nirK_only
geopseudomonas aromaticivorans,2849492,Geopseudomonas aromaticivorans,0,1,N/A,WP_455231259.1,pcuac_only
geopseudomonas guangdongensis,1245526,Geopseudomonas guangdongensis,0,1,N/A,WP_090215184.1,pcuac_only
geopseudomonas sagittaria,1135990,Geopseudomonas sagittaria,0,1,N/A,WP_092430642.1,pcuac_only
georgenia daeguensis,908355,Georgenia daeguensis,1,0,WP_486327344.1,N/A,nirK_only
georgenia muralis,154117,Georgenia muralis,1,1,WP_211338690.1,WP_123918102.1,both
georgenia phoenicis,554103,Georgenia phoenicis,1,0,WP_413450994.1,N/A,nirK_only
georgenia satyanarayanai,860221,Georgenia satyanarayanai,1,0,WP_251304238.1,N/A,nirK_only
georgenia soli,638953,Georgenia soli,1,0,WP_245862172.1,N/A,nirK_only
georgenia sp.,3464132,Georgenia sp. G2120,1,1,WP_463653641.1,WP_341360799.1,both
georgenia subflava,1622177,Georgenia subflava,1,0,WP_152816367.1,N/A,nirK_only
georgenia sunbinii,3117728,Georgenia sunbinii,1,0,WP_331239144.1,N/A,nirK_only
georgenia thermotolerans,527326,Georgenia thermotolerans,1,0,WP_211489718.1,N/A,nirK_only
georgenia yuyongxinii,2589797,Georgenia yuyongxinii,1,0,WP_448073157.1,N/A,nirK_only
georgfuchsia toluolica,424218,Georgfuchsia toluolica,0,1,N/A,WP_220636998.1,pcuac_only
georhizobium profundi,2341112,Georhizobium profundi,1,1,WP_164527844.1,WP_126006437.1,both
georhizobium sp.,3028319,Georhizobium sp. MAB10,0,1,N/A,WP_404863004.1,pcuac_only
geosporobacter ferrireducens,1424294,Geosporobacter ferrireducens,1,0,WP_273226184.1,N/A,nirK_only
gephyromycinifex aptenodytis,2716227,Gephyromycinifex aptenodytis,1,0,WP_226913221.1,N/A,nirK_only
giesbergeria anulus,180197,Giesbergeria anulus,0,1,N/A,WP_091457094.1,pcuac_only
giesbergeria sinuosa,80883,Giesbergeria sinuosa;Giesbergeria giesbergeri;Giesbergeria,1,1,WP_382430330.1,WP_382432888.1,both
giesbergeria sp.,2818473,Giesbergeria sp.,0,1,N/A,WP_300079088.1,pcuac_only
gillisella taibaishanensis,887144,Gillisella taibaishanensis,0,1,N/A,WP_075614810.1,pcuac_only
gillisella terrae,1848972,Gillisella terrae,0,1,N/A,WP_190235909.1,pcuac_only
gillisella vitis,373,Gillisella vitis,1,1,WP_071201566.1,WP_197433349.1,both
gillisia limnaea,195907,Gillisia limnaea;Gillisia limnaea DSM 15749,1,0,WP_006987263.1,N/A,nirK_only
gillisia sp.,1249981,Gillisia sp. Hel_I_86,1,0,WP_144962437.1,N/A,nirK_only
gillisia xinjiangensis,3384765,Gillisia xinjiangensis,1,0,WP_409539355.1,N/A,nirK_only
gilvimarinus agarilyticus,679259,Gilvimarinus agarilyticus,0,1,N/A,WP_052480935.1,pcuac_only
gilvimarinus algae,3058037,Gilvimarinus algae,0,1,N/A,WP_302713431.1,pcuac_only
gilvimarinus chinensis,396005,Gilvimarinus chinensis;Gilvimarinus chinensis DSM 19667,0,1,N/A,WP_020210220.1,pcuac_only
gilvimarinus gilvus,3058038,Gilvimarinus gilvus,0,1,N/A,WP_302724457.1,pcuac_only
gilvimarinus japonicus,1796469,Gilvimarinus japonicus,0,1,N/A,WP_382413664.1,pcuac_only
gilvimarinus polysaccharolyticus,863921,Gilvimarinus polysaccharolyticus,0,1,N/A,WP_049723653.1,pcuac_only
gilvimarinus sp.,2956798,Gilvimarinus sp. DA14,0,1,N/A,WP_254266239.1,pcuac_only
gilvimarinus xylanilyticus,2944139,Gilvimarinus xylanilyticus,0,1,N/A,WP_253966052.1,pcuac_only
gimesia benthica,2608982,Gimesia benthica,1,0,WP_155365507.1,N/A,nirK_only
gimesia chilikensis,2605989,Gimesia chilikensis,1,0,WP_145182909.1,N/A,nirK_only
gimesia gimesia,1649453,Gimesia;Gimesia sp.;Gimesia chilikensis,1,0,WP_145441702.1,N/A,nirK_only
gimesia maris,122,Gimesia maris;Gimesia;Gimesia sp.;Gimesia chilikensis,1,0,WP_145187107.1,N/A,nirK_only
gimesia panareensis,2527978,Gimesia panareensis,1,0,WP_232105568.1,N/A,nirK_only
gimibacter soli,3024400,Gimibacter soli,0,1,N/A,WP_289504673.1,pcuac_only
ginsengibacter hankyongi,2607284,Ginsengibacter hankyongi,1,0,WP_150415534.1,N/A,nirK_only
ginsengibacter sp.,2806034,Ginsengibacter sp.,1,0,WP_486271027.1,N/A,nirK_only
glaciecola petra,3075602,Glaciecola petra,0,1,N/A,WP_311368900.1,pcuac_only
glaciecola punicea,56804,Glaciecola punicea;Glaciecola punicea ACAM 611,0,1,N/A,WP_006007393.1,pcuac_only
glaciecola siphonariae,521012,Glaciecola siphonariae,0,1,N/A,WP_382408637.1,pcuac_only
glaciecola sp.,2161813,Glaciecola sp. KUL10,0,1,N/A,WP_110427968.1,pcuac_only
glacieibacterium arshaanense,2511025,Glacieibacterium arshaanense,0,1,N/A,WP_135246722.1,pcuac_only
glaciibacter psychrotolerans,670054,Glaciibacter psychrotolerans,0,1,N/A,WP_179579562.1,pcuac_only
glaciimonas immobilis,728004,Glaciimonas immobilis,0,1,N/A,WP_168056063.1,pcuac_only
glaciimonas soli,2590999,Glaciimonas soli,0,1,N/A,WP_153233867.1,pcuac_only
glaciimonas sp.,3479356,Glaciimonas sp. OK215,1,1,WP_488644540.1,WP_322235213.1,both
gleimia coleocanis,103618,Gleimia coleocanis;Gleimia coleocanis DSM 15436,1,0,WP_006547003.1,N/A,nirK_only
gleimia hominis,595468,Gleimia hominis,1,0,WP_102215589.1,N/A,nirK_only
gleimia sp.,2973937,Gleimia sp. 6138-11-ORH1,1,0,WP_259138771.1,N/A,nirK_only
gloeobacter kilaueensis,1183438,Gloeobacter kilaueensis JS1;Gloeobacter kilaueensis,1,0,WP_023175612.1,N/A,nirK_only
gloeobacter morelensis,2781736,Gloeobacter morelensis MG652769;Gloeobacter morelensis,1,0,WP_230841221.1,N/A,nirK_only
gloeobacter violaceus,33072,Gloeobacter violaceus;Gloeobacter violaceus PCC 7421,1,0,WP_011143280.1,N/A,nirK_only
gloeocapsa sp.,102232,Gloeocapsa sp. PCC 73106,1,0,WP_006528833.1,N/A,nirK_only
gloeocapsopsis dulcis,1433147,Gloeocapsopsis dulcis AAB1 = 1H9;Gloeocapsopsis dulcis,1,0,WP_105219901.1,N/A,nirK_only
gloeocapsopsis sp.,2049454,Gloeocapsopsis sp. IPPAS B-1203,1,0,WP_099702998.1,N/A,nirK_only
gloeothece citriformis,65393,Gloeothece citriformis PCC 7424;Gloeothece citriformis,1,0,WP_012599301.1,N/A,nirK_only
gloeothece verrucosa,497965,Gloeothece verrucosa PCC 7822;Gloeothece verrucosa,1,0,WP_013323501.1,N/A,nirK_only
gluconacetobacter brunescens,3395370,Gluconacetobacter brunescens,1,0,WP_420358196.1,N/A,nirK_only
gluconacetobacter diazotrophicus,33996,Gluconacetobacter diazotrophicus;Gluconacetobacter diazotrophicus PA1 5,1,1,WP_043458902.1,WP_012225265.1,both
gluconacetobacter dulcium,2729096,Gluconacetobacter dulcium,1,0,WP_182974003.1,N/A,nirK_only
gluconacetobacter entanii,108528,Gluconacetobacter entanii,1,0,WP_222148404.1,N/A,nirK_only
gluconacetobacter sp.,1935994,Gluconacetobacter sp.,1,0,WP_415529725.1,N/A,nirK_only
gluconacetobacter tumulisoli,1286189,Gluconacetobacter tumulisoli,0,1,N/A,WP_182959677.1,pcuac_only
gluconobacter albidus,318683,Gluconobacter albidus,1,0,WP_062109419.1,N/A,nirK_only
gluconobacter frateurii,38308,Gluconobacter frateurii,0,1,N/A,WP_240284233.1,pcuac_only
gluconobacter gluconobacter,441,Gluconobacter;Gluconobacter japonicus;Gluconobacter sp. NFX36,0,1,N/A,WP_211568719.1,pcuac_only
gluconobacter japonicus,376620,Gluconobacter japonicus,0,1,N/A,WP_062025309.1,pcuac_only
gluconobacter kanchanaburiensis,563199,Gluconobacter kanchanaburiensis;Gluconobacter kanchanaburiensis NBRC 103587,1,0,WP_146858968.1,N/A,nirK_only
gluconobacter morbifer,479935,Gluconobacter morbifer;Gluconobacter morbifer G707,1,0,WP_008850206.1,N/A,nirK_only
gluconobacter oxydans,442,Gluconobacter oxydans,1,0,WP_062500573.1,N/A,nirK_only
gluconobacter sp.,3448594,Gluconobacter sp. ESL1110,0,1,N/A,WP_489823193.1,pcuac_only
gluconobacter thailandicus,257438,Gluconobacter thailandicus;Gluconobacter thailandicus F149-1 = NBRC 100600,1,1,WP_264780619.1,WP_007281996.1,both
glutamicibacter ardleyensis,225894,Glutamicibacter ardleyensis,1,1,WP_490287420.1,WP_346059916.1,both
glutamicibacter arilaitensis,256701,Glutamicibacter arilaitensis,1,1,WP_443436883.1,WP_443453137.1,both
glutamicibacter creatinolyticus,162496,Glutamicibacter creatinolyticus,1,0,WP_421013911.1,N/A,nirK_only
glutamicibacter ectropisis,3046593,Glutamicibacter ectropisis,1,1,WP_345469780.1,WP_345471475.1,both
glutamicibacter glutamicibacter,1742989,Glutamicibacter;Glutamicibacter halophytocola;Glutamicibacter sp. FBE19,0,1,N/A,WP_244652215.1,pcuac_only
glutamicibacter nicotianae,37929,Glutamicibacter nicotianae,1,0,WP_190263766.1,N/A,nirK_only
glutamicibacter protophormiae,37930,Glutamicibacter protophormiae,1,1,WP_422215929.1,WP_422216400.1,both
glutamicibacter soli,453836,Glutamicibacter soli,1,0,WP_161446932.1,N/A,nirK_only
glutamicibacter sp.,3071482,Glutamicibacter sp. BSL13,1,1,WP_446754849.1,WP_400383732.1,both
glutamicibacter uratoxydans,43667,Glutamicibacter uratoxydans,1,1,WP_141365806.1,WP_141362097.1,both
glycocaulis abyssi,1433403,Glycocaulis abyssi,1,1,WP_371395137.1,WP_371392991.1,both
glycocaulis albus,1382801,Glycocaulis albus,0,1,N/A,WP_474997138.1,pcuac_only
glycocaulis alkaliphilus,1434191,Glycocaulis alkaliphilus,0,1,N/A,WP_127565119.1,pcuac_only
glycocaulis sp.,1969725,Glycocaulis sp.,1,1,WP_429911200.1,WP_228679593.1,both
glycomyces amatae,2881355,Glycomyces amatae,0,1,N/A,WP_230601557.1,pcuac_only
glycomyces arizonensis,256035,Glycomyces arizonensis;Glycomyces arizonensis DSM 44726,0,1,N/A,WP_026923517.1,pcuac_only
glycomyces salinus,980294,Glycomyces salinus,0,1,N/A,WP_199040538.1,pcuac_only
glycomyces sp.,2909235,Glycomyces sp. L485,1,0,WP_241377014.1,N/A,nirK_only
gordonia abscondita,3022769,Gordonia abscondita,0,1,N/A,WP_420040779.1,pcuac_only
gordonia aichiensis,36820,Gordonia aichiensis,1,0,WP_347954741.1,N/A,nirK_only
gordonia alkaliphila,1053547,Gordonia alkaliphila,1,1,WP_308221332.1,WP_246994424.1,both
gordonia amicalis,1220574,Gordonia amicalis;Gordonia amicalis NBRC 100051 = JCM 11271,0,1,N/A,WP_157228249.1,pcuac_only
gordonia araii,263909,Gordonia araii;Gordonia araii NBRC 100433,0,1,N/A,WP_170265551.1,pcuac_only
gordonia aurantiaca,3151852,Gordonia aurantiaca,0,1,N/A,WP_347960427.1,pcuac_only
gordonia caeni,1007097,Gordonia caeni,1,1,WP_344780053.1,WP_344784604.1,both
gordonia crocea,589162,Gordonia crocea,0,1,N/A,WP_161925986.1,pcuac_only
gordonia gordonia,2053,Gordonia;Gordonia defluvii;Gordonia sp. UBA5067,1,1,WP_290703510.1,WP_243828750.1,both
gordonia heveisoli,3053923,Gordonia heveisoli,0,1,N/A,WP_286327847.1,pcuac_only
gordonia hirsuta,53427,Gordonia hirsuta;Gordonia hirsuta DSM 44140 = NBRC 16056,1,1,WP_005940789.1,WP_005942461.1,both
gordonia hongkongensis,1701090,Gordonia hongkongensis,0,1,N/A,WP_487023760.1,pcuac_only
gordonia humi,686429,Gordonia humi,0,1,N/A,WP_183370428.1,pcuac_only
gordonia hydrophobica,40516,Gordonia hydrophobica;Gordonia hydrophobica NBRC 16057,1,0,WP_157086086.1,N/A,nirK_only
gordonia iterans,1004901,Gordonia iterans,0,1,N/A,WP_105941579.1,pcuac_only
gordonia jinghuaiqii,2758710,Gordonia jinghuaiqii,0,1,N/A,WP_188328657.1,pcuac_only
gordonia lacunae,417102,Gordonia lacunae,0,1,N/A,WP_414960970.1,pcuac_only
gordonia liuliyuniae,2911517,Gordonia liuliyuniae,0,1,N/A,WP_236999634.1,pcuac_only
gordonia malaquae,410332,Gordonia malaquae,0,1,N/A,WP_336793063.1,pcuac_only
gordonia mangrovi,2665643,Gordonia mangrovi,0,1,N/A,WP_160904621.1,pcuac_only
gordonia paraffinivorans,175628,Gordonia paraffinivorans,0,1,N/A,WP_279103714.1,pcuac_only
gordonia phosphorivorans,1056982,Gordonia phosphorivorans,1,1,WP_382364526.1,WP_382366270.1,both
gordonia phthalatica,1136941,Gordonia phthalatica,1,1,WP_062392112.1,WP_062391912.1,both
gordonia rubripertincta,36822,Gordonia rubripertincta,0,1,N/A,WP_119031717.1,pcuac_only
gordonia shandongensis,376351,Gordonia shandongensis;Gordonia shandongensis DSM 45094,1,0,WP_035720032.1,N/A,nirK_only
gordonia soli,320799,Gordonia soli;Gordonia soli NBRC 108243,0,1,N/A,WP_007618458.1,pcuac_only
gordonia sp.,3698342,Gordonia sp. 34D,1,1,WP_480034804.1,WP_201450604.1,both
gordonia spumicola,589161,Gordonia spumicola,0,1,N/A,WP_161894752.1,pcuac_only
gordonia terrae,2055,Gordonia terrae,0,1,N/A,WP_452201020.1,pcuac_only
gordonia westfalica,158898,Gordonia westfalica,0,1,N/A,WP_074850462.1,pcuac_only
gordonia zhaorongruii,2597659,Gordonia zhaorongruii,0,1,N/A,WP_143965339.1,pcuac_only
gordonia zhenghanii,2911516,Gordonia zhenghanii,0,1,N/A,WP_237012612.1,pcuac_only
gordoniibacillus kamchatkensis,1590651,Gordoniibacillus kamchatkensis,1,0,WP_269432509.1,N/A,nirK_only
gorillibacterium massiliense,1280390,Gorillibacterium massiliense,1,0,WP_040948271.1,N/A,nirK_only
gorillibacterium sp.,3446695,Gorillibacterium sp. sgz5001074,1,0,WP_438448398.1,N/A,nirK_only
gottfriedia acidiceleris,371036,Gottfriedia acidiceleris,1,0,WP_429892449.1,N/A,nirK_only
govanella unica,2975056,Govanella unica,1,1,WP_346742528.1,WP_274944362.1,both
gracilibacillus lacisalsi,393087,Gracilibacillus lacisalsi;Gracilibacillus lacisalsi DSM 19029,1,0,WP_018930455.1,N/A,nirK_only
gracilibacillus massiliensis,1564956,Gracilibacillus massiliensis,1,0,WP_058308789.1,N/A,nirK_only
gracilibacillus salinarum,2932255,Gracilibacillus salinarum,1,0,WP_244741264.1,N/A,nirK_only
gracilibacillus thailandensis,563735,Gracilibacillus thailandensis,1,0,WP_163578641.1,N/A,nirK_only
gracilimonas amylolytica,1749045,Gracilimonas amylolytica,1,1,WP_103665229.1,WP_103664076.1,both
gracilimonas gracilimonas,649462,Gracilimonas;Gracilimonas sp.;Gracilimonas sediminicola,1,0,WP_290962244.1,N/A,nirK_only
gracilimonas halophila,1834464,Gracilimonas halophila,1,0,WP_390303831.1,N/A,nirK_only
gracilimonas mengyeensis,1302730,Gracilimonas mengyeensis,1,0,WP_142453311.1,N/A,nirK_only
gracilimonas qinghaiensis,3384766,Gracilimonas qinghaiensis,1,0,WP_411322933.1,N/A,nirK_only
gracilimonas sp.,1974203,Gracilimonas sp.,1,1,WP_395086625.1,WP_482878862.1,both
gracilimonas tropica,454600,Gracilimonas tropica;Gracilimonas tropica DSM 19535,1,1,WP_020402568.1,WP_020403873.1,both
gramella sp.,2183748,Gramella sp. AN32,1,0,WP_251738872.1,N/A,nirK_only
granulibacter bethesdensis,364410,Granulibacter bethesdensis,0,1,N/A,WP_072548377.1,pcuac_only
granulicoccus phenolivorans,266854,Granulicoccus phenolivorans;Granulicoccus phenolivorans DSM 17626 = NBRC 107789 = JCM 15570,1,0,WP_211221743.1,N/A,nirK_only
granulicoccus sp.,3381351,Granulicoccus sp. GXG6511,1,0,WP_432559088.1,N/A,nirK_only
granulosicoccus antarcticus,437505,Granulosicoccus antarcticus;Granulosicoccus antarcticus IMCC3135,0,1,N/A,WP_088916069.1,pcuac_only
granulosicoccus sp.,3417969,Granulosicoccus sp. 3-233,0,1,N/A,WP_430881061.1,pcuac_only
grimontia celer,1796497,Grimontia celer,0,1,N/A,WP_062664207.1,pcuac_only
grimontia hollisae,673,Grimontia hollisae,0,1,N/A,WP_115660360.1,pcuac_only
grimontia indica,1056512,Grimontia indica,0,1,N/A,WP_002535914.1,pcuac_only
grimontia kaedaensis,2872157,Grimontia kaedaensis,0,1,N/A,WP_251882262.1,pcuac_only
grimontia marina,646534,Grimontia marina,0,1,N/A,WP_062707953.1,pcuac_only
grimontia sedimenti,2711294,Grimontia sedimenti,0,1,N/A,WP_165011517.1,pcuac_only
grimontia sp.,3111011,Grimontia sp. NTOU-MAR1,0,1,N/A,WP_325894582.1,pcuac_only
gulbenkiania indica,375574,Gulbenkiania indica,0,1,N/A,WP_055433930.1,pcuac_only
gulbenkiania mobilis,397457,Gulbenkiania mobilis,0,1,N/A,WP_054285240.1,pcuac_only
gulosibacter chungangensis,979746,Gulosibacter chungangensis,1,1,WP_318655804.1,WP_158052410.1,both
