accession,protein_type,length,taxid,organism_name,species,species_resolved,is_representative,representative_selection_reason
WP_115179571.1,NirK,341,729,Haemophilus parainfluenzae,haemophilus parainfluenzae,1,FALSE,
WP_115307635.1,NirK,389,1122136;265175,Kingella potus;Kingella potus DSM 18304,kingella potus,1,TRUE,longest_validated_sequence
WP_115412231.1,NirK,313,556288,Brachybacterium saurashtrense,brachybacterium saurashtrense,1,TRUE,longest_validated_sequence
WP_115421993.1,NirK,316,2203782;227292;430451,Sinorhizobium/Ensifer group;Sinorhizobium sp. M14;Ensifer sp. M14,sinorhizobium/ensifer group,1,TRUE,longest_validated_sequence
WP_115436868.1,NirK,388,487,Neisseria meningitidis,neisseria meningitidis,1,FALSE,
WP_115587944.1,NirK,333,720,Actinobacillus lignieresii,actinobacillus lignieresii,1,TRUE,longest_validated_sequence
WP_115591088.1,NirK,333,720,Actinobacillus lignieresii,actinobacillus lignieresii,1,FALSE,
WP_115606597.1,NirK,333,723,Actinobacillus ureae,actinobacillus ureae,1,FALSE,
WP_115610227.1,NirK,354,243365;536,Chromobacterium violaceum;Chromobacterium violaceum ATCC 12472,chromobacterium violaceum,1,TRUE,longest_validated_sequence
WP_115810538.1,NirK,361,664642,Winogradskyella pacifica,winogradskyella pacifica,1,TRUE,longest_validated_sequence
WP_115813464.1,NirK,367,1682742,Flavobacterium aquicola,flavobacterium aquicola,1,TRUE,longest_validated_sequence
WP_115837881.1,NirK,360,1382466,Winogradskyella sediminis,winogradskyella sediminis,1,TRUE,longest_validated_sequence
WP_115842259.1,NirK,338,453783,Lysobacter soli,lysobacter soli,1,TRUE,longest_validated_sequence
WP_115884542.1,NirK,314,1249618;1302639;1747,Cutibacterium acnes;Cutibacterium acnes PA20B;Cutibacterium acnes P10,cutibacterium acnes,1,FALSE,
WP_115901598.1,NirK,364,561505,Tenacibaculum gallaicum,tenacibaculum gallaicum,1,TRUE,longest_validated_sequence
WP_115910852.1,NirK,341,729,Haemophilus parainfluenzae,haemophilus parainfluenzae,1,FALSE,
WP_115939034.1,NirK,314,1574624,Cutibacterium namnetense,cutibacterium namnetense,1,FALSE,
WP_115956439.1,NirK,331,415851,Chryseobacterium flavum,chryseobacterium flavum,1,TRUE,longest_validated_sequence
WP_116036173.1,NirK,331,358687,Epilithonimonas hispanica,epilithonimonas hispanica,1,TRUE,longest_validated_sequence
WP_116115448.1,NirK,313,100225,Austwickia chelonae,austwickia chelonae,1,FALSE,
WP_116242500.1,NirK,313,2293570,Microbacterium bovistercoris,microbacterium bovistercoris,1,TRUE,longest_validated_sequence
WP_116472521.1,NirK,358,2059725,Zobellella maritima,zobellella maritima,1,TRUE,longest_validated_sequence
WP_116632132.1,NirK,339,1122935;756,Alitibacter langaaensis;Alitibacter langaaensis DSM 22999,alitibacter langaaensis,1,TRUE,longest_validated_sequence
WP_116680353.1,NirK,384,487,Neisseria meningitidis,neisseria meningitidis,1,FALSE,
WP_116693840.1,NirK,367,2174845,Marixanthomonas spongiae,marixanthomonas spongiae,1,TRUE,longest_validated_sequence
WP_116725299.1,NirK,367,2169410,Flavobacterium psychrotolerans,flavobacterium psychrotolerans,1,TRUE,longest_validated_sequence
WP_116745567.1,NirK,342,2135631,Janthinobacterium sp. 78,janthinobacterium sp. 78,0,TRUE,longest_validated_sequence
WP_116752136.1,NirK,362,2170732,Flavobacterium sp. HTF,flavobacterium sp. htf,0,TRUE,longest_validated_sequence
WP_116795935.1,NirK,365,2135624,Flavobacterium sp. 103,flavobacterium sp. 103,0,TRUE,longest_validated_sequence
WP_116900390.1,NirK,342,2293838,Thermaerobacter sp. PB12/4term,thermaerobacter sp. pb12/4term,0,TRUE,longest_validated_sequence
WP_116943029.1,NirK,341,2608003,Hymenobacter lapidiphilus,hymenobacter lapidiphilus,1,TRUE,longest_validated_sequence
WP_117011071.1,NirK,355,1871181;1871350;1871351;2636909,Duganella sp. BJB480;Duganella sp. BJB488;Duganella sp. BJB489;unclassified Duganella,unclassified duganella,1,FALSE,
WP_117018101.1,NirK,365,2183745;2303391;2615047,Arenibacter sp. A80;Arenibacter sp. P308M17;unclassified Arenibacter,unclassified arenibacter,1,TRUE,longest_validated_sequence
WP_117022701.1,NirK,314,1747,Cutibacterium acnes,cutibacterium acnes,1,FALSE,
WP_117174597.1,NirK,365,2027857,Mariniflexile rhizosphaerae,mariniflexile rhizosphaerae,1,TRUE,longest_validated_sequence
WP_117188270.1,NirK,314,1912216;33010;3414761,Cutibacterium avidum;Cutibacterium;Cutibacterium sp. LaCa_255,cutibacterium avidum,1,FALSE,
WP_117883142.1,NirK,366,1548456,Aureibaculum luteum,aureibaculum luteum,1,TRUE,longest_validated_sequence
WP_118019986.1,NirK,386,487,Neisseria meningitidis,neisseria meningitidis,1,FALSE,
WP_118695442.1,NirK,314,1747,Cutibacterium acnes,cutibacterium acnes,1,FALSE,
WP_118794693.1,NirK,388,487,Neisseria meningitidis,neisseria meningitidis,1,FALSE,
WP_118794964.1,NirK,386,487,Neisseria meningitidis,neisseria meningitidis,1,FALSE,
WP_118818325.1,NirK,388,487,Neisseria meningitidis,neisseria meningitidis,1,FALSE,
WP_118821479.1,NirK,390,487,Neisseria meningitidis,neisseria meningitidis,1,FALSE,
WP_118822737.1,NirK,389,487,Neisseria meningitidis,neisseria meningitidis,1,FALSE,
WP_118832531.1,NirK,388,487,Neisseria meningitidis,neisseria meningitidis,1,FALSE,
WP_118833558.1,NirK,390,487,Neisseria meningitidis,neisseria meningitidis,1,FALSE,
WP_118833677.1,NirK,381,487,Neisseria meningitidis,neisseria meningitidis,1,FALSE,
WP_118836969.1,NirK,386,487,Neisseria meningitidis,neisseria meningitidis,1,FALSE,
WP_118852328.1,NirK,383,487,Neisseria meningitidis,neisseria meningitidis,1,FALSE,
WP_118853020.1,NirK,383,487,Neisseria meningitidis,neisseria meningitidis,1,FALSE,
WP_118869951.1,NirK,365,305,Ralstonia solanacearum,ralstonia solanacearum,1,FALSE,
WP_118872820.1,NirK,364,1310165,Ralstonia pseudosolanacearum,ralstonia pseudosolanacearum,1,FALSE,
WP_118883948.1,NirK,365,1310167;305;3116862,Ralstonia solanacearum;Ralstonia syzygii subsp. indonesiensis;Ralstonia solanacearum species complex,ralstonia solanacearum,1,FALSE,
WP_118948788.1,NirK,386,487,Neisseria meningitidis,neisseria meningitidis,1,FALSE,
WP_118997931.1,NirK,392,2830768;482;489,Neisseria;Neisseria polysaccharea;Neisseria sp. Marseille-Q1983,neisseria polysaccharea,1,TRUE,longest_validated_sequence
WP_119071132.1,NirK,345,913108,Aggregatilinea lenta,aggregatilinea lenta,1,TRUE,longest_validated_sequence
WP_119390814.1,NirK,322,2268456,Taklimakanibacter lacteus,taklimakanibacter lacteus,1,TRUE,longest_validated_sequence
WP_119417734.1,NirK,365,1310165,Ralstonia pseudosolanacearum,ralstonia pseudosolanacearum,1,TRUE,longest_validated_sequence
WP_119641077.1,NirK,362,2306997,Flagellimonas aequoris,flagellimonas aequoris,1,TRUE,longest_validated_sequence
WP_119715116.1,NirK,308,1962131,Propionibacterium ruminifibrarum,propionibacterium ruminifibrarum,1,TRUE,longest_validated_sequence
WP_119716972.1,NirK,376,2315424,Cognatilysobacter tabacisoli,cognatilysobacter tabacisoli,1,TRUE,longest_validated_sequence
WP_119812971.1,NirK,356,2320864,Massilia cavernae,massilia cavernae,1,TRUE,longest_validated_sequence
WP_119932748.1,NirK,316,1736139;2282476;57493,Kocuria;Kocuria subflava;Kocuria sp. CPCC 104605,kocuria subflava,1,TRUE,longest_validated_sequence
WP_119934024.1,NirK,381,487,Neisseria meningitidis,neisseria meningitidis,1,FALSE,
WP_120183920.1,NirK,367,28450,Burkholderia pseudomallei,burkholderia pseudomallei,1,FALSE,
WP_120339057.1,NirK,316,2220095,Cryobacterium soli,cryobacterium soli,1,TRUE,longest_validated_sequence
WP_120363155.1,NirK,314,1747,Cutibacterium acnes,cutibacterium acnes,1,FALSE,
WP_120648784.1,NirK,382,480,Moraxella catarrhalis,moraxella catarrhalis,1,FALSE,
WP_120665205.1,NirK,382,480,Moraxella catarrhalis,moraxella catarrhalis,1,FALSE,
WP_120791958.1,NirK,314,1389713,Mycobacterium paragordonae,mycobacterium paragordonae,1,FALSE,
WP_120983544.1,NirK,306,1725,Corynebacterium xerosis,corynebacterium xerosis,1,FALSE,
WP_120989218.1,NirK,315,1268;2183908;453836,Micrococcaceae;Glutamicibacter soli;Arthrobacter sp. AG1021,glutamicibacter soli,1,FALSE,
WP_121146765.1,NirK,364,104267;1699411;361581,Tenacibaculum;Tenacibaculum discolor;Tenacibaculum ascidiaceicola,tenacibaculum discolor,1,FALSE,
WP_121258404.1,NirK,317,2340821,Nocardioides ferulae,nocardioides ferulae,1,TRUE,longest_validated_sequence
WP_121336739.1,NirK,364,2135627,Flavobacterium sp. 123,flavobacterium sp. 123,0,TRUE,longest_validated_sequence
WP_121670463.1,NirK,342,55508,Janthinobacterium agaricidamnosum,janthinobacterium agaricidamnosum,1,TRUE,longest_validated_sequence
WP_122101850.1,NirK,371,2483112,Solilutibacter pythonis,solilutibacter pythonis,1,TRUE,longest_validated_sequence
WP_122261924.1,NirK,311,2248773,Ornithinimicrobium cerasi,ornithinimicrobium cerasi,1,FALSE,
WP_122647985.1,NirK,367,28450,Burkholderia pseudomallei,burkholderia pseudomallei,1,FALSE,
WP_122650508.1,NirK,366,28450,Burkholderia pseudomallei,burkholderia pseudomallei,1,FALSE,
WP_122655422.1,NirK,367,28450,Burkholderia pseudomallei,burkholderia pseudomallei,1,FALSE,
WP_122659097.1,NirK,367,28450,Burkholderia pseudomallei,burkholderia pseudomallei,1,FALSE,
WP_122659488.1,NirK,367,28450,Burkholderia pseudomallei,burkholderia pseudomallei,1,FALSE,
WP_122780074.1,NirK,367,28450,Burkholderia pseudomallei,burkholderia pseudomallei,1,FALSE,
WP_122780726.1,NirK,367,28450,Burkholderia pseudomallei,burkholderia pseudomallei,1,FALSE,
WP_122787366.1,NirK,314,2559073,Cutibacterium modestum,cutibacterium modestum,1,FALSE,
WP_122798136.1,NirK,367,28450,Burkholderia pseudomallei,burkholderia pseudomallei,1,FALSE,
WP_122826713.1,NirK,367,28450,Burkholderia pseudomallei,burkholderia pseudomallei,1,FALSE,
WP_122833510.1,NirK,367,28450,Burkholderia pseudomallei,burkholderia pseudomallei,1,FALSE,
WP_122833842.1,NirK,364,28450,Burkholderia pseudomallei,burkholderia pseudomallei,1,FALSE,
WP_122883526.1,NirK,367,28450,Burkholderia pseudomallei,burkholderia pseudomallei,1,FALSE,
WP_122939767.1,NirK,312,2306299,Brachybacterium sp. EE-P12,brachybacterium sp. ee-p12,0,TRUE,longest_validated_sequence
WP_123092545.1,NirK,312,262209,Janibacter melonis,janibacter melonis,1,FALSE,
WP_123184069.1,NirK,381,487,Neisseria meningitidis,neisseria meningitidis,1,FALSE,
WP_123196120.1,NirK,386,487,Neisseria meningitidis,neisseria meningitidis,1,FALSE,
WP_123196371.1,NirK,388,487,Neisseria meningitidis,neisseria meningitidis,1,FALSE,
WP_123263086.1,NirK,331,192389,Chryseobacterium daecheongense,chryseobacterium daecheongense,1,FALSE,
WP_123266575.1,NirK,330,2487074,Kaistella daneshvariae,kaistella daneshvariae,1,TRUE,longest_validated_sequence
WP_123271796.1,NirK,313,2294115,Flexivirga caeni,flexivirga caeni,1,TRUE,longest_validated_sequence
WP_123521556.1,NirK,372,634155,Pseudofulvimonas gallinarii,pseudofulvimonas gallinarii,1,TRUE,longest_validated_sequence
WP_123574693.1,NirK,316,33984,Luteococcus japonicus,luteococcus japonicus,1,FALSE,
WP_123785781.1,NirK,390,485,Neisseria gonorrhoeae,neisseria gonorrhoeae,1,FALSE,
WP_123794574.1,NirK,380,492,Neisseria animalis,neisseria animalis,1,TRUE,longest_validated_sequence
WP_123804069.1,NirK,385,1853276,Neisseria weixii,neisseria weixii,1,FALSE,
WP_123810106.1,NirK,392,487,Neisseria meningitidis,neisseria meningitidis,1,FALSE,
WP_123826482.1,NirK,316,2485125,Kocuria soli,kocuria soli,1,TRUE,longest_validated_sequence
WP_123829523.1,NirK,386,487,Neisseria meningitidis,neisseria meningitidis,1,FALSE,
WP_123870847.1,NirK,331,1241978,Chryseobacterium bernardetii,chryseobacterium bernardetii,1,TRUE,longest_validated_sequence
WP_123899403.1,NirK,331,1241978;1609531;59732,Chryseobacterium;Chryseobacterium bernardetii;Chryseobacterium rhizoplanae,chryseobacterium bernardetii,1,FALSE,
WP_124258446.1,NirK,314,1830,Rhodococcus ruber,rhodococcus ruber,1,FALSE,
WP_124343511.1,NirK,317,2071633,Cellulomonas algicola,cellulomonas algicola,1,TRUE,longest_validated_sequence
WP_124380585.1,NirK,366,2448774,Ralstonia sp. SET104,ralstonia sp. set104,0,TRUE,longest_validated_sequence
WP_124588516.1,NirK,364,361581,Tenacibaculum discolor,tenacibaculum discolor,1,FALSE,
WP_124640666.1,NirK,333,2479858;2715289;2767188,Amniculibacterium aquaticum;Amniculibacterium;Amniculibacterium sp. G2-70,amniculibacterium aquaticum,1,TRUE,longest_validated_sequence
WP_124757798.1,NirK,330,2487074,Kaistella daneshvariae,kaistella daneshvariae,1,FALSE,
WP_124802792.1,NirK,331,2487072,Epilithonimonas vandammei,epilithonimonas vandammei,1,TRUE,longest_validated_sequence
WP_124843083.1,NirK,314,1750,Arachnia propionica,arachnia propionica,1,FALSE,
WP_124986130.1,NirK,331,2487072,Epilithonimonas vandammei,epilithonimonas vandammei,1,FALSE,
WP_125067670.1,NirK,364,2358479,Tenacibaculum singaporense,tenacibaculum singaporense,1,TRUE,longest_validated_sequence
WP_125078428.1,NirK,315,2478465,Mycobacterium sp. P7213,mycobacterium sp. p7213,0,TRUE,longest_validated_sequence
WP_125157573.1,NirK,312,2492472,Caulobacter sp. 602-1,caulobacter sp. 602-1,0,TRUE,longest_validated_sequence
WP_125188113.1,NirK,314,273384,Brevibacterium aurantiacum,brevibacterium aurantiacum,1,FALSE,
WP_125227913.1,NirK,314,1750,Arachnia propionica,arachnia propionica,1,FALSE,
WP_125345082.1,NirK,364,104267;104268;2358479;2917762,Tenacibaculum;Tenacibaculum mesophilum;Tenacibaculum singaporense;Tenacibaculum sp. Mcav3-52,tenacibaculum mesophilum,1,FALSE,
WP_125613145.1,NirK,314,1629051,Specibacter cremeus,specibacter cremeus,1,TRUE,longest_validated_sequence
WP_125971722.1,NirK,331,2496266,Iodobacter ciconiae,iodobacter ciconiae,1,TRUE,longest_validated_sequence
WP_126041335.1,NirK,314,1282737,Flaviflexus salsibiostraticola,flaviflexus salsibiostraticola,1,TRUE,longest_validated_sequence
WP_126072076.1,NirK,357,2495579,Massilia atriviolacea,massilia atriviolacea,1,TRUE,longest_validated_sequence
WP_126303772.1,NirK,385,326522,Neisseria animaloris,neisseria animaloris,1,FALSE,
WP_126346553.1,NirK,315,1275,Kocuria rosea,kocuria rosea,1,FALSE,
WP_126349818.1,NirK,315,1275,Kocuria rosea,kocuria rosea,1,FALSE,
WP_126372753.1,NirK,338,762,Avibacterium volantium,avibacterium volantium,1,TRUE,longest_validated_sequence
WP_126375497.1,NirK,333,720,Actinobacillus lignieresii,actinobacillus lignieresii,1,FALSE,
WP_126376926.1,NirK,315,1750,Arachnia propionica,arachnia propionica,1,FALSE,
WP_126471062.1,NirK,341,729,Haemophilus parainfluenzae,haemophilus parainfluenzae,1,FALSE,
WP_126500707.1,NirK,318,172042,Rothia aeria,rothia aeria,1,FALSE,
WP_126539003.1,NirK,376,2010829,Aerosticca soli,aerosticca soli,1,TRUE,longest_validated_sequence
WP_126847967.1,NirK,319,2419511,Dermabacter sp. HSID17554,dermabacter sp. hsid17554,0,TRUE,longest_validated_sequence
WP_126854649.1,NirK,318,172042;2419514;32207,Rothia;Rothia aeria;Rothia sp. HSID18067,rothia aeria,1,FALSE,
WP_126926753.1,NirK,318,172042;2419515;32207,Rothia;Rothia aeria;Rothia sp. HSID18069,rothia aeria,1,FALSE,
WP_126984660.1,NirK,312,173362;43668;47846,Brachybacterium;Brachybacterium conglomeratum;Brachybacterium paraconglomeratum,brachybacterium conglomeratum,1,TRUE,longest_validated_sequence
WP_127003320.1,NirK,318,92933,Azospirillum doebereinerae,azospirillum doebereinerae,1,TRUE,longest_validated_sequence
WP_127070560.1,NirK,320,2029865,Pelagibacterium lentulum,pelagibacterium lentulum,1,TRUE,longest_validated_sequence
WP_127202620.1,NirK,381,487,Neisseria meningitidis,neisseria meningitidis,1,FALSE,
WP_127203391.1,NirK,386,487,Neisseria meningitidis,neisseria meningitidis,1,FALSE,
WP_127207801.1,NirK,390,487,Neisseria meningitidis,neisseria meningitidis,1,FALSE,
WP_127213097.1,NirK,386,487,Neisseria meningitidis,neisseria meningitidis,1,FALSE,
WP_127218395.1,NirK,390,487,Neisseria meningitidis,neisseria meningitidis,1,FALSE,
WP_127223366.1,NirK,386,487,Neisseria meningitidis,neisseria meningitidis,1,FALSE,
WP_127224979.1,NirK,385,487,Neisseria meningitidis,neisseria meningitidis,1,FALSE,
WP_127231950.1,NirK,390,487,Neisseria meningitidis,neisseria meningitidis,1,FALSE,
WP_127232907.1,NirK,381,487,Neisseria meningitidis,neisseria meningitidis,1,FALSE,
WP_127233339.1,NirK,390,487,Neisseria meningitidis,neisseria meningitidis,1,FALSE,
WP_127235057.1,NirK,390,487,Neisseria meningitidis,neisseria meningitidis,1,FALSE,
WP_127245492.1,NirK,390,487,Neisseria meningitidis,neisseria meningitidis,1,FALSE,
WP_127254132.1,NirK,383,487,Neisseria meningitidis,neisseria meningitidis,1,FALSE,
WP_127262062.1,NirK,386,487,Neisseria meningitidis,neisseria meningitidis,1,FALSE,
WP_127304204.1,NirK,386,487,Neisseria meningitidis,neisseria meningitidis,1,FALSE,
WP_127308626.1,NirK,381,487,Neisseria meningitidis,neisseria meningitidis,1,FALSE,
WP_127403061.1,NirK,386,487,Neisseria meningitidis,neisseria meningitidis,1,FALSE,
WP_127778877.1,NirK,357,2480984,Lujinxingia sediminis,lujinxingia sediminis,1,TRUE,longest_validated_sequence
WP_127823068.1,NirK,362,237;2906077;996,Flavobacterium;Flavobacterium columnare;Flavobacterium davisii,flavobacterium columnare,1,FALSE,
WP_127856753.1,NirK,350,2500528,Mesorhizobium sp. M00.F.Ca.ET.216.01.1.1,mesorhizobium sp. m00.f.ca.et.216.01.1.1,0,TRUE,longest_validated_sequence
WP_128106682.1,NirK,315,1335622;81858,Mycolicibacterium elephantis;Mycolicibacterium elephantis DSM 44368,mycolicibacterium elephantis,1,FALSE,
WP_128141902.1,NirK,342,29581,Janthinobacterium lividum,janthinobacterium lividum,1,FALSE,
WP_128194321.1,NirK,366,1921138,Flavobacterium sufflavum,flavobacterium sufflavum,1,TRUE,longest_validated_sequence
WP_128249626.1,NirK,365,2494375,Aequorivita ciconiae,aequorivita ciconiae,1,TRUE,longest_validated_sequence
WP_128470010.1,NirK,315,2049891,Glutamicibacter sp. HZAU,glutamicibacter sp. hzau,0,TRUE,longest_validated_sequence
WP_128580828.1,NirK,383,484,Neisseria flavescens,neisseria flavescens,1,FALSE,
WP_128582837.1,NirK,380,484,Neisseria flavescens,neisseria flavescens,1,FALSE,
WP_128768757.1,NirK,364,699437,Arcticibacter tournemirensis,arcticibacter tournemirensis,1,TRUE,longest_validated_sequence
WP_128787488.1,NirK,341,729,Haemophilus parainfluenzae,haemophilus parainfluenzae,1,FALSE,
WP_128902766.1,NirK,356,2497863,Janthinobacterium sp. 17J80-10,janthinobacterium sp. 17j80-10,0,TRUE,longest_validated_sequence
WP_129016968.1,NirK,363,59602,Gelidibacter gilvus,gelidibacter gilvus,1,TRUE,longest_validated_sequence
WP_129046542.1,NirK,364,2508720,Oleiharenicola lentus,oleiharenicola lentus,1,TRUE,longest_validated_sequence
WP_129176926.1,NirK,314,592376,Agromyces atrinae,agromyces atrinae,1,TRUE,longest_validated_sequence
WP_129331693.1,NirK,319,2509717,Ciceribacter ferrooxidans,ciceribacter ferrooxidans,1,TRUE,longest_validated_sequence
WP_129357974.1,NirK,317,37923,Rothia kristinae,rothia kristinae,1,TRUE,longest_validated_sequence
WP_129390519.1,NirK,316,2509458,Microbacterium protaetiae,microbacterium protaetiae,1,TRUE,longest_validated_sequence
WP_129459597.1,NirK,313,2072026,Propioniciclava flava,propioniciclava flava,1,TRUE,longest_validated_sequence
WP_129533889.1,NirK,331,2478663,Chryseobacterium sp. 3008163,chryseobacterium sp. 3008163,0,TRUE,longest_validated_sequence
WP_129537760.1,NirK,362,196869;2478552;2897328,unclassified Flavobacterium;Flavobacterium sp. 140616W15;Flavobacterium sp. EDS,unclassified flavobacterium,1,FALSE,
WP_129645466.1,NirK,369,268404,Peristeroidobacter agariperforans,peristeroidobacter agariperforans,1,TRUE,longest_validated_sequence
WP_129760216.1,NirK,361,2038084,Corallibacter sp.,corallibacter sp.,0,TRUE,longest_validated_sequence
WP_129781613.1,NirK,370,2497877,Peristeroidobacter soli,peristeroidobacter soli,1,TRUE,longest_validated_sequence
WP_129931374.1,NirK,306,1744,Propionibacterium freudenreichii,propionibacterium freudenreichii,1,FALSE,
WP_130107070.1,NirK,331,537,Iodobacter fluviatilis,iodobacter fluviatilis,1,TRUE,longest_validated_sequence
WP_130178313.1,NirK,316,1897061,Cryobacterium sp. SO1,cryobacterium sp. so1,0,TRUE,longest_validated_sequence
WP_130276708.1,NirK,370,1187080,Cecembia calidifontis,cecembia calidifontis,1,TRUE,longest_validated_sequence
WP_130619676.1,NirK,366,1770545,Dyella amyloliquefaciens,dyella amyloliquefaciens,1,FALSE,
WP_130620869.1,NirK,376,1770545,Dyella amyloliquefaciens,dyella amyloliquefaciens,1,TRUE,longest_validated_sequence
WP_130783106.1,NirK,317,1709,Cellulomonas biazotea,cellulomonas biazotea,1,TRUE,longest_validated_sequence
WP_130874700.1,NirK,315,2220000,[Pseudopropionibacterium] massiliense,[pseudopropionibacterium] massiliense,1,TRUE,longest_validated_sequence
WP_131106139.1,NirK,315,2508882,Ornithinimicrobium sufpigmenti,ornithinimicrobium sufpigmenti,1,TRUE,longest_validated_sequence
WP_131151231.1,NirK,373,522259,Dyella terrae,dyella terrae,1,TRUE,longest_validated_sequence
WP_131166898.1,NirK,313,1837344,Propioniciclava sinopodophylli,propioniciclava sinopodophylli,1,TRUE,longest_validated_sequence
WP_131201860.1,NirK,367,28450,Burkholderia pseudomallei,burkholderia pseudomallei,1,FALSE,
WP_131333543.1,NirK,315,1049583;223184,Kocuria marina;Kocuria marina subsp. indica,kocuria marina,1,FALSE,
WP_131667637.1,NirK,385,2488563,Psychrobacter pygoscelis,psychrobacter pygoscelis,1,TRUE,longest_validated_sequence
WP_131800590.1,NirK,317,1349768;37923,Rothia kristinae;Rothia kristinae NBRC 15354,rothia kristinae,1,FALSE,
WP_131915756.1,NirK,366,2541724,Flavobacterium rhamnosiphilum,flavobacterium rhamnosiphilum,1,TRUE,longest_validated_sequence
WP_131951180.1,NirK,317,2530367,Actinomadura sp. GC306,actinomadura sp. gc306,0,TRUE,longest_validated_sequence
WP_131976176.1,NirK,317,2530364,Actinomadura sp. 6K520,actinomadura sp. 6k520,0,TRUE,longest_validated_sequence
WP_131996617.1,NirK,366,2541722,Flavobacterium sp. GT3P67,flavobacterium sp. gt3p67,0,TRUE,longest_validated_sequence
WP_131998971.1,NirK,371,328517,Dokdonella fugitiva,dokdonella fugitiva,1,FALSE,
WP_132044666.1,NirK,317,2530366,Actinomadura sp. 7K534,actinomadura sp. 7k534,0,TRUE,longest_validated_sequence
WP_132066659.1,NirK,366,237;239;2541733,Flavobacterium;Flavobacterium sp.;Flavobacterium sandaracinum,flavobacterium sandaracinum,1,TRUE,longest_validated_sequence
WP_132069928.1,NirK,366,2541725,Flavobacterium ranwuense,flavobacterium ranwuense,1,TRUE,longest_validated_sequence
WP_132108256.1,NirK,366,2541734,Flavobacterium hiemivividum,flavobacterium hiemivividum,1,TRUE,longest_validated_sequence
WP_132196376.1,NirK,317,705336,Actinomadura darangshiensis,actinomadura darangshiensis,1,TRUE,longest_validated_sequence
WP_132473432.1,NirK,312,2512213,Rhodococcus sp. SMB37,rhodococcus sp. smb37,0,TRUE,longest_validated_sequence
WP_132575011.1,NirK,356,304,Roseateles saccharophilus,roseateles saccharophilus,1,TRUE,longest_validated_sequence
WP_132952060.1,NirK,384,252130,Uruburuella suis,uruburuella suis,1,TRUE,longest_validated_sequence
WP_133109854.1,NirK,316,2518684,Occultella glacieicola,occultella glacieicola,1,TRUE,longest_validated_sequence
WP_133143290.1,NirK,317,37923,Rothia kristinae,rothia kristinae,1,FALSE,
WP_133524963.1,NirK,361,2512115,Flavobacterium sp. 245,flavobacterium sp. 245,0,TRUE,longest_validated_sequence
WP_133536522.1,NirK,363,1325435,Tenacibaculum caenipelagi,tenacibaculum caenipelagi,1,TRUE,longest_validated_sequence
WP_133606756.1,NirK,360,295428,Flavobacterium cheniae,flavobacterium cheniae,1,TRUE,longest_validated_sequence
WP_133681840.1,NirK,349,1144873,Paludibacterium purpuratum,paludibacterium purpuratum,1,TRUE,longest_validated_sequence
WP_133712425.1,NirK,366,1323422,Myroides indicus,myroides indicus,1,TRUE,longest_validated_sequence
WP_133741233.1,NirK,317,1605990,Actinorugispora endophytica,actinorugispora endophytica,1,TRUE,longest_validated_sequence
WP_133757711.1,NirK,365,1608710,Gelidibacter sediminis,gelidibacter sediminis,1,TRUE,longest_validated_sequence
WP_133961358.1,NirK,367,28450,Burkholderia pseudomallei,burkholderia pseudomallei,1,FALSE,
WP_133967378.1,NirK,365,221126,Algibacter lectus,algibacter lectus,1,FALSE,
WP_133989279.1,NirK,342,2135628,Janthinobacterium sp. 75,janthinobacterium sp. 75,0,TRUE,longest_validated_sequence
WP_134220605.1,NirK,367,28450,Burkholderia pseudomallei,burkholderia pseudomallei,1,FALSE,
WP_134342355.1,NirK,316,1259240,Cryobacterium sp. TMT1-62,cryobacterium sp. tmt1-62,0,TRUE,longest_validated_sequence
WP_134360349.1,NirK,316,1259237,Cryobacterium sp. TMT1-3,cryobacterium sp. tmt1-3,0,TRUE,longest_validated_sequence
WP_134366247.1,NirK,316,1259244,Cryobacterium sp. TMT2-10,cryobacterium sp. tmt2-10,0,TRUE,longest_validated_sequence
WP_134369498.1,NirK,316,1259262,Cryobacterium cheniae,cryobacterium cheniae,1,TRUE,longest_validated_sequence
WP_134374399.1,NirK,316,1259166;1259247;69578,Cryobacterium;Cryobacterium sp. Hz7;Cryobacterium sandaracinum,cryobacterium sandaracinum,1,TRUE,longest_validated_sequence
WP_134377579.1,NirK,316,1259233,Cryobacterium sp. TMT1-2-2,cryobacterium sp. tmt1-2-2,0,TRUE,longest_validated_sequence
WP_134394494.1,NirK,316,1259249;1259250;1259255;2649013,Cryobacterium sp. TMT2-18-2;Cryobacterium sp. TMT2-18-3;Cryobacterium sp. TMT2-42-4;unclassified Cryobacterium,unclassified cryobacterium,1,TRUE,longest_validated_sequence
WP_134398237.1,NirK,316,1259246,Cryobacterium sp. TMT2-15-1,cryobacterium sp. tmt2-15-1,0,TRUE,longest_validated_sequence
WP_134401478.1,NirK,316,1259254,Cryobacterium sp. TMT2-4,cryobacterium sp. tmt2-4,0,TRUE,longest_validated_sequence
WP_134402489.1,NirK,316,1259235;1259252;1259256;69578,Cryobacterium;Cryobacterium shii;Cryobacterium sp. TMT2-23;Cryobacterium sp. TMT4-10,cryobacterium shii,1,TRUE,longest_validated_sequence
WP_134408651.1,NirK,316,1259259,Cryobacterium sp. TMT4-31,cryobacterium sp. tmt4-31,0,TRUE,longest_validated_sequence
WP_134410280.1,NirK,316,1259234,Cryobacterium sp. TMT1-21,cryobacterium sp. tmt1-21,0,TRUE,longest_validated_sequence
