species,taxid,organism_name,nirK_present,pcuac_present,class,nirK_rep_accession,pcuac_rep_accession,species_resolved,nirK_length,nirK_molecular_weight,nirK_isoelectric_point,nirK_gravy,nirK_aromaticity,nirK_aa_frac_A,nirK_aa_frac_C,nirK_aa_frac_D,nirK_aa_frac_E,nirK_aa_frac_F,nirK_aa_frac_G,nirK_aa_frac_H,nirK_aa_frac_I,nirK_aa_frac_K,nirK_aa_frac_L,nirK_aa_frac_M,nirK_aa_frac_N,nirK_aa_frac_P,nirK_aa_frac_Q,nirK_aa_frac_R,nirK_aa_frac_S,nirK_aa_frac_T,nirK_aa_frac_V,nirK_aa_frac_W,nirK_aa_frac_Y,pcuac_length,pcuac_molecular_weight,pcuac_isoelectric_point,pcuac_gravy,pcuac_aromaticity,pcuac_aa_frac_A,pcuac_aa_frac_C,pcuac_aa_frac_D,pcuac_aa_frac_E,pcuac_aa_frac_F,pcuac_aa_frac_G,pcuac_aa_frac_H,pcuac_aa_frac_I,pcuac_aa_frac_K,pcuac_aa_frac_L,pcuac_aa_frac_M,pcuac_aa_frac_N,pcuac_aa_frac_P,pcuac_aa_frac_Q,pcuac_aa_frac_R,pcuac_aa_frac_S,pcuac_aa_frac_T,pcuac_aa_frac_V,pcuac_aa_frac_W,pcuac_aa_frac_Y
mannheimia massilioguelmaensis,1604354,Mannheimia massilioguelmaensis,1,0,nirK_only,WP_044470845.1,NA,1,339,37066.06,6.767,-0.2086,0.09145,0.0826,0.00295,0.03835,0.06785,0.0531,0.08555,0.02655,0.05015,0.0826,0.08555,0.03245,0.05605,0.06195,0.0236,0.02065,0.059,0.06195,0.0708,0.00295,0.0354,,,,,,,,,,,,,,,,,,,,,,,,,
aequorivita vladivostokensis,153265;1548749;171194,Aequorivita;Aequorivita vladivostokensis;Aequorivita aquimaris,1,0,nirK_only,WP_045079976.1,NA,1,365,39494.8,5.189,-0.0249,0.08493,0.07123,0.00548,0.05479,0.07397,0.04384,0.12055,0.03014,0.06027,0.06301,0.07671,0.03288,0.04932,0.05479,0.01644,0.02466,0.03014,0.0411,0.10959,0.00274,0.03836,,,,,,,,,,,,,,,,,,,,,,,,,
ralstonia chuxiongensis,2957504;2957504;3243016;48736;54061;2957504;48736;54061,Ralstonia chuxiongensis,1,1,both,WP_045202032.1,WP_394373662.1,1,366,39042.25,6.342,0.0068,0.08743,0.09563,0.00273,0.04098,0.05191,0.04645,0.10929,0.03552,0.04372,0.05191,0.0765,0.02732,0.03279,0.0765,0.02459,0.03005,0.05464,0.05464,0.10383,0.00273,0.03825,132,14201.45,9.347,-0.0788,0.0303,0.10606,0.0,0.06061,0.03788,0.01515,0.07576,0.0303,0.02273,0.07576,0.08333,0.06061,0.00758,0.06061,0.05303,0.04545,0.04545,0.07576,0.12879,0.00758,0.00758
unclassified flavobacterium,1603293;196869;239;3459700;3459701;1699134;1699509;196869;2161662;1761784;1882758;196869;196869;1975676;239;3045781;3096538;196869;239;3031997;196869;2478552;2897328;196869;2675875;2783790;196869;3088354;3384157;196869;3232501;3232524,unclassified Flavobacterium;Flavobacterium sp. P2_G10;Flavobacterium sp. P3_A6,1,0,nirK_only,WP_477185062.1,NA,1,365,39624.86,5.725,-0.1666,0.09315,0.07123,0.00548,0.04384,0.07397,0.05205,0.11507,0.03562,0.05753,0.07671,0.05479,0.03836,0.05205,0.06301,0.02192,0.0137,0.03836,0.04658,0.09863,0.00274,0.03836,,,,,,,,,,,,,,,,,,,,,,,,,
mycolicibacter arupensis,342002,Mycolicibacter arupensis,1,0,nirK_only,WP_046187658.1,NA,1,315,33478.69,5.826,-0.04,0.07302,0.13968,0.00635,0.05397,0.05397,0.03492,0.12063,0.0381,0.03492,0.0127,0.08571,0.0254,0.02222,0.07937,0.02857,0.06984,0.01905,0.04762,0.08889,0.0127,0.0254,,,,,,,,,,,,,,,,,,,,,,,,,
uncultured corynebacterium,159447;159447;1716;2828363;2913505;159447;1881619,uncultured Corynebacterium sp.,1,0,nirK_only,WP_046205306.1,NA,1,302,32240.8,5.526,-0.1705,0.06954,0.08609,0.00662,0.04636,0.06291,0.03642,0.10596,0.04967,0.05298,0.0298,0.07616,0.02318,0.03311,0.06623,0.03311,0.03642,0.09272,0.04967,0.07947,0.00993,0.02318,,,,,,,,,,,,,,,,,,,,,,,,,
caldimonas brevitalea,413882,Caldimonas brevitalea,1,1,both,WP_047196140.1,WP_047194490.1,1,343,36402.78,6.22,-0.1571,0.07872,0.07289,0.00292,0.04956,0.04956,0.03207,0.11953,0.0379,0.0379,0.05539,0.05831,0.02624,0.02624,0.06997,0.02332,0.02915,0.06997,0.0758,0.11662,0.00292,0.04373,139,14532.72,9.392,0.0094,0.02158,0.15108,0.0,0.02158,0.04317,0.00719,0.09353,0.05036,0.01439,0.02878,0.13669,0.05036,0.02158,0.08633,0.04317,0.05036,0.04317,0.07914,0.06475,0.00719,0.00719
mycolicibacter heraklionensis,512402,Mycolicibacter heraklionensis,1,0,nirK_only,WP_082957188.1,NA,1,316,33692.63,5.373,-0.1269,0.07278,0.16139,0.00633,0.06646,0.0538,0.03481,0.10443,0.0443,0.03797,0.00633,0.07595,0.02848,0.01899,0.08228,0.02848,0.06962,0.01266,0.06013,0.06962,0.01266,0.02532,,,,,,,,,,,,,,,,,,,,,,,,,
mycobacterium nebraskense,244292,Mycobacterium nebraskense,1,0,nirK_only,WP_047322265.1,NA,1,314,33278.4,5.787,-0.0006,0.07006,0.13376,0.00318,0.06051,0.04459,0.03503,0.11146,0.03185,0.04459,0.01274,0.07643,0.02229,0.01274,0.07643,0.03503,0.07006,0.03822,0.06051,0.09554,0.01274,0.02229,,,,,,,,,,,,,,,,,,,,,,,,,
neisseria arctica,1470200,Neisseria arctica,1,1,both,WP_047761346.1,WP_047761317.1,1,382,40730.57,5.169,-0.1325,0.08639,0.09424,0.00785,0.04974,0.06283,0.04974,0.11257,0.02356,0.04712,0.06021,0.05497,0.02356,0.0445,0.06021,0.04974,0.01832,0.05236,0.0445,0.10733,0.00262,0.03403,151,16078.36,8.018,-0.253,0.03974,0.09934,0.0,0.04636,0.05298,0.02649,0.11921,0.03974,0.02649,0.08609,0.08609,0.0596,0.04636,0.03974,0.04636,0.01987,0.02649,0.07947,0.08609,0.00662,0.00662
tenacibaculum mesophilum,104267;104268;2358479;2917762;104267;104268;3155930;3155931;104268,Tenacibaculum mesophilum,1,0,nirK_only,WP_047788910.1,NA,1,364,38871.59,5.415,-0.1335,0.08242,0.07692,0.00549,0.0467,0.06868,0.0467,0.11538,0.02747,0.0522,0.06593,0.05769,0.03022,0.0522,0.0522,0.01923,0.01923,0.06044,0.06593,0.10165,0.00275,0.03297,,,,,,,,,,,,,,,,,,,,,,,,,
cyclobacterium amurskyense,320787;320787;3472710;68288,Cyclobacterium amurskyense,1,0,nirK_only,WP_048640173.1,NA,1,370,39994.15,5.146,0.0081,0.0973,0.07027,0.00541,0.03784,0.07027,0.06486,0.11351,0.02973,0.06216,0.04865,0.05946,0.03243,0.05946,0.06486,0.03514,0.01892,0.04595,0.04054,0.10811,0.0027,0.02973,,,,,,,,,,,,,,,,,,,,,,,,,
nitratireductor soli,1670619,Nitratireductor soli,1,1,both,WP_048645861.1,WP_048648626.1,1,317,34002.88,4.839,-0.0754,0.08517,0.09148,0.00315,0.05047,0.08202,0.04101,0.12618,0.03785,0.04101,0.0347,0.08517,0.01893,0.03785,0.05363,0.03155,0.03155,0.02524,0.05678,0.10726,0.00315,0.04101,144,14947.22,5.126,0.1757,0.03472,0.15278,0.0,0.03472,0.08333,0.02083,0.11111,0.02778,0.02778,0.04167,0.10417,0.06944,0.02083,0.06944,0.00694,0.03472,0.03472,0.0625,0.08333,0.00694,0.00694
morococcus cerebrosus,1056807,Morococcus cerebrosus,1,1,both,WP_049229080.1,WP_049227592.1,1,389,40618.46,5.622,-0.1113,0.07712,0.16452,0.00514,0.0437,0.06684,0.04113,0.10283,0.02571,0.04884,0.0617,0.0437,0.02571,0.03342,0.06684,0.03085,0.02571,0.04884,0.04627,0.08226,0.00257,0.03342,157,16796.23,9.331,-0.349,0.03822,0.0828,0.0,0.03822,0.06369,0.02548,0.12739,0.06369,0.01911,0.10191,0.07006,0.05732,0.02548,0.04459,0.03185,0.02548,0.04459,0.05732,0.10828,0.00637,0.00637
neisseria perflava,192066;2972775;33053;3436665;3436666;3436667;3436668;3436669;3436670;3436671;3436672;3436673;3436674;482;33053;33053;482;547045,Neisseria perflava,1,1,both,WP_253353544.1,WP_101755362.1,1,385,40430.09,5.139,-0.1005,0.07792,0.14545,0.00519,0.06234,0.05455,0.04156,0.09351,0.02857,0.04156,0.05974,0.04416,0.03117,0.03117,0.05974,0.03377,0.01818,0.05714,0.05974,0.0961,0.0026,0.03377,157,16944.49,9.127,-0.3153,0.03822,0.10191,0.0,0.03185,0.07643,0.02548,0.11465,0.05732,0.03185,0.10191,0.07006,0.06369,0.02548,0.03822,0.04459,0.02548,0.03185,0.05096,0.09554,0.00637,0.00637
haemophilus influenzae,724;727;729;727,Haemophilus influenzae,1,0,nirK_only,WP_049362564.1,NA,1,341,37197.26,5.674,-0.0912,0.08798,0.08211,0.00587,0.03812,0.07038,0.05572,0.08798,0.02346,0.04985,0.05572,0.07625,0.04399,0.04985,0.06745,0.02933,0.03226,0.06158,0.05279,0.08504,0.00293,0.02933,,,,,,,,,,,,,,,,,,,,,,,,,
mycolicibacter sinensis,1288388;1762;2492438;875328;875328,Mycolicibacter sinensis,1,0,nirK_only,WP_082946987.1,NA,1,316,33605.67,5.687,-0.0722,0.07278,0.15506,0.00633,0.05696,0.05696,0.03481,0.11392,0.04114,0.04114,0.00633,0.07595,0.02532,0.02215,0.07911,0.02215,0.07595,0.01582,0.0538,0.07911,0.01266,0.02532,,,,,,,,,,,,,,,,,,,,,,,,,
nocardiopsis alkaliphila,1246461;225762,Nocardiopsis alkaliphila;Nocardiopsis alkaliphila YIM 80379,1,1,both,WP_051045906.1,WP_017606015.1,1,306,32526.04,4.926,-0.1997,0.07843,0.11438,0.00327,0.04902,0.0817,0.03922,0.13072,0.04248,0.02614,0.01307,0.07516,0.02288,0.01307,0.08497,0.03268,0.05229,0.02941,0.06209,0.08824,0.01307,0.02614,129,13438.9,4.055,0.2093,0.04651,0.17829,0.00775,0.06202,0.13953,0.03101,0.09302,0.03101,0.03876,0.02326,0.08527,0.03876,0.00775,0.03101,0.0155,0.0155,0.03101,0.05426,0.10078,0.00775,0.00775
salisaeta longa,1089550;503170,Salisaeta longa;Salisaeta longa DSM 21114,1,0,nirK_only,WP_051141251.1,NA,1,322,34462.58,5.57,-0.1789,0.08385,0.10559,0.00621,0.04969,0.0528,0.0528,0.09938,0.04037,0.04037,0.02795,0.04348,0.04037,0.04348,0.09627,0.02484,0.04037,0.04348,0.07143,0.09006,0.00621,0.02484,,,,,,,,,,,,,,,,,,,,,,,,,
nocardia niigatensis,1206733;209249;209249,Nocardia niigatensis,1,0,nirK_only,WP_051152174.1,NA,1,315,33352.39,5.768,-0.06,0.06984,0.14286,0.00635,0.06032,0.04444,0.03175,0.12698,0.04127,0.04127,0.00317,0.07302,0.03492,0.01587,0.06984,0.03492,0.07302,0.0254,0.05714,0.07937,0.0127,0.0254,,,,,,,,,,,,,,,,,,,,,,,,,
arenibacter certesii,1121011;228955,Arenibacter certesii;Arenibacter certesii DSM 19833,1,0,nirK_only,WP_051315723.1,NA,1,366,39495.67,5.581,-0.0787,0.09016,0.07377,0.00546,0.04098,0.07377,0.04645,0.11475,0.02186,0.06557,0.06557,0.07104,0.02459,0.04645,0.06011,0.01913,0.02732,0.04918,0.05738,0.0929,0.00273,0.04098,,,,,,,,,,,,,,,,,,,,,,,,,
zhouia amylolytica,1286632;376730;376730,Zhouia amylolytica,1,0,nirK_only,WP_051413363.1,NA,1,366,39746.95,5.605,-0.1128,0.0847,0.06011,0.00546,0.04372,0.0765,0.05191,0.12022,0.03005,0.06011,0.06284,0.07923,0.02732,0.06011,0.05464,0.01913,0.03005,0.03825,0.04918,0.09836,0.00273,0.03005,,,,,,,,,,,,,,,,,,,,,,,,,
aquamicrobium defluvii,69279,Aquamicrobium defluvii,1,1,both,WP_051520767.1,WP_035024575.1,1,357,37929.26,5.232,-0.0821,0.08123,0.08123,0.0028,0.05882,0.05882,0.03922,0.12885,0.04202,0.05042,0.03081,0.05882,0.02521,0.01961,0.06723,0.02521,0.03922,0.05602,0.06443,0.10924,0.0028,0.03922,137,14496.34,5.302,-0.2036,0.05839,0.10949,0.0,0.0438,0.10219,0.0365,0.13869,0.0438,0.0438,0.06569,0.08759,0.0438,0.0073,0.05839,0.0146,0.0292,0.05109,0.0438,0.05839,0.0073,0.0146
methylobacter tundripaludum,1408450;173365;1408451;173365;173365;173365;2051955;429,Methylobacter;Methylobacter tundripaludum;Methylobacter sp.,1,0,nirK_only,WP_051604114.1,NA,1,344,37386.08,6.394,-0.2788,0.07849,0.10756,0.00581,0.04942,0.06105,0.03488,0.09884,0.0407,0.0436,0.06105,0.07849,0.03198,0.03779,0.05523,0.04651,0.03779,0.04942,0.03779,0.07849,0.00291,0.0407,,,,,,,,,,,,,,,,,,,,,,,,,
streptomyces anulatus,1522763;1883;1892,Streptomyces;Streptomyces anulatus;Streptomyces sp. ADI98-10,1,0,nirK_only,WP_051860311.1,NA,1,317,33723.86,5.93,-0.1252,0.07571,0.13249,0.00315,0.05994,0.04732,0.03785,0.11356,0.03785,0.02208,0.0347,0.08202,0.02839,0.02208,0.0694,0.0347,0.05047,0.02208,0.07256,0.09148,0.01262,0.02524,,,,,,,,,,,,,,,,,,,,,,,,,
streptomyces aureus,193461,Streptomyces aureus,1,0,nirK_only,WP_051900902.1,NA,1,317,33879.08,6.266,-0.105,0.07571,0.13249,0.00315,0.05047,0.05994,0.04101,0.11987,0.04416,0.02208,0.02208,0.07571,0.02839,0.01262,0.06625,0.02524,0.07256,0.02524,0.06309,0.10095,0.01262,0.02208,,,,,,,,,,,,,,,,,,,,,,,,,
methylomarinum vadi,438855,Methylomarinum vadi,1,0,nirK_only,WP_051906305.1,NA,1,304,33180.88,4.987,-0.1447,0.10855,0.10197,0.00658,0.04276,0.06579,0.05592,0.09211,0.03947,0.05592,0.02961,0.07237,0.02303,0.06908,0.06908,0.02632,0.02303,0.03618,0.07237,0.06579,0.01645,0.03618,,,,,,,,,,,,,,,,,,,,,,,,,
thermorudis peleae,1382356,Thermorudis peleae,1,0,nirK_only,WP_051914749.1,NA,1,324,34748.31,5.524,0.0673,0.08025,0.08333,0.00617,0.04321,0.05556,0.04938,0.10494,0.03395,0.04321,0.02469,0.07716,0.02469,0.02778,0.08333,0.04012,0.04321,0.04012,0.0679,0.12037,0.00309,0.02778,,,,,,,,,,,,,,,,,,,,,,,,,
bifidobacterium coryneforme,1341694;1687;1437599;1687;1687,Bifidobacterium coryneforme,1,0,nirK_only,WP_052108822.1,NA,1,311,33506.93,6.773,-0.1428,0.07074,0.11576,0.00322,0.05788,0.04823,0.03215,0.10611,0.03215,0.02572,0.0418,0.0836,0.03859,0.02572,0.06109,0.03859,0.06109,0.04823,0.03859,0.10289,0.01286,0.02572,,,,,,,,,,,,,,,,,,,,,,,,,
pseudorhizobium banfieldiae,1125847,Pseudorhizobium banfieldiae,1,1,both,WP_052637304.1,WP_052638506.1,1,315,33600.41,5.044,-0.1054,0.08254,0.11429,0.00317,0.06032,0.06667,0.0381,0.10476,0.03175,0.03492,0.04127,0.06667,0.02222,0.03175,0.05714,0.01905,0.0381,0.03492,0.08254,0.10794,0.00317,0.04127,140,14951.12,5.69,0.0343,0.04286,0.11429,0.0,0.04286,0.07857,0.04286,0.09286,0.03571,0.05714,0.05,0.07857,0.05714,0.02143,0.05714,0.02857,0.04286,0.05,0.06429,0.08571,0.0,0.0
bifidobacterium mellis,1293823,Bifidobacterium mellis,1,0,nirK_only,WP_052690772.1,NA,1,311,33495.71,7.141,-0.1807,0.07074,0.09968,0.00322,0.05466,0.0418,0.03215,0.10289,0.02894,0.03537,0.03537,0.08682,0.03537,0.03215,0.06109,0.0418,0.06109,0.07717,0.04502,0.08682,0.01286,0.02572,,,,,,,,,,,,,,,,,,,,,,,,,
bifidobacterium kimbladii,1293826,Bifidobacterium kimbladii,1,0,nirK_only,WP_052692841.1,NA,1,311,33527.92,7.894,-0.1482,0.06752,0.10611,0.00322,0.04823,0.04823,0.02894,0.09968,0.02894,0.03537,0.03859,0.09325,0.03537,0.03215,0.06109,0.03859,0.06109,0.06752,0.04823,0.08682,0.01286,0.02572,,,,,,,,,,,,,,,,,,,,,,,,,
bifidobacterium polysaccharolyticum,1678;2750967;2750977;1678;2750967;2751008;1678;2750967;3470097;2750967,Bifidobacterium polysaccharolyticum,1,0,nirK_only,WP_052733360.1,NA,1,311,33415.68,7.142,-0.1318,0.06752,0.10289,0.00322,0.04823,0.04502,0.02894,0.10289,0.02894,0.03537,0.03537,0.09325,0.03215,0.03215,0.05788,0.04502,0.05788,0.07074,0.05145,0.09003,0.01286,0.02572,,,,,,,,,,,,,,,,,,,,,,,,,
mycolicibacter virginiensis,1795032,Mycolicibacter virginiensis,1,0,nirK_only,WP_052741220.1,NA,1,316,33654.54,5.367,-0.1253,0.07278,0.16139,0.00633,0.06962,0.05063,0.03481,0.10443,0.0443,0.03481,0.00633,0.07595,0.02848,0.01899,0.07911,0.02848,0.06962,0.01582,0.06013,0.07278,0.01266,0.02532,,,,,,,,,,,,,,,,,,,,,,,,,
streptomyces mangrovisoli,1428628,Streptomyces mangrovisoli,1,0,nirK_only,WP_052743082.1,NA,1,317,33363.3,5.937,-0.0615,0.07571,0.13565,0.00315,0.06625,0.04101,0.03785,0.12618,0.05047,0.00631,0.02524,0.08202,0.02839,0.01262,0.06625,0.02524,0.05363,0.0347,0.05678,0.11041,0.01262,0.02524,,,,,,,,,,,,,,,,,,,,,,,,,
agrobacterium tumefaciens,1082932;3122072;357;358;110321;1183410;1335061;1345498;1736577;2607032;2815360;3085829;3085830;3085831;3085832;3085833;3085834;3085835;3085836;3085837;3085838;3085839;3085841;3085842;3421958;358;648995;82115;1107544;227290;3035122;358;1150775;1183430;1435057;1560230;2489001;2572678;3232968;3422704;358;359;82115;1183400;1183422;358;362;1183400;1183423;358;362;1183400;1183424;358;362;1183400;1368457;358;1183400;358;362;1183410;1183432;1643810;1736577;227290;3085829;3085830;3085831;3085832;3085833;3085834;3085835;3085836;3085837;3085838;3085839;3085840;3085841;3085842;358;1183412;1697277;2792015;2991524;3017317;357;358;1183421;1300224;1300225;1736548;227290;358;1183429;358;1183434;357;358;1368457;1701910;357;358;1378077;358;359;82115;1631629;357;358;1841651;3422680;3422692;3422693;3422694;3422695;3422696;357;358;2292443;357;358;2820001;2820002;3422701;357;358;2944235;357;358;3040274;357;358;362;3041773;357;358;3122066;3122395;357;358;362;3233042;357;358;3422682;3422683;3422684;3422685;3422686;3422687;3422688;3422689;3422690;3422691;357;358;358,Agrobacterium tumefaciens,1,1,both,WP_052820541.1,WP_003512953.1,1,315,33543.31,4.813,-0.0848,0.08254,0.11111,0.00317,0.06349,0.06984,0.0381,0.10476,0.03175,0.03175,0.04127,0.06349,0.02222,0.0254,0.06032,0.02222,0.03175,0.03175,0.08571,0.11746,0.00317,0.04127,144,15106.37,6.413,0.0382,0.04861,0.10417,0.00694,0.05556,0.0625,0.04167,0.11111,0.02778,0.04861,0.09722,0.06944,0.05556,0.02083,0.04167,0.01389,0.01389,0.06944,0.05556,0.09722,0.0,0.00694
devosia psychrophila,728005,Devosia psychrophila,1,1,both,WP_052953013.1,WP_046170961.1,1,321,35166.24,4.855,-0.0916,0.10592,0.08411,0.00935,0.04361,0.08723,0.06542,0.09657,0.03738,0.04673,0.01558,0.06231,0.02804,0.03738,0.07788,0.01558,0.04984,0.04673,0.06231,0.09346,0.00623,0.03427,141,14776.89,5.025,0.3794,0.05674,0.12766,0.0,0.03546,0.06383,0.05674,0.08511,0.02837,0.04255,0.02128,0.08511,0.04965,0.03546,0.06383,0.01418,0.03546,0.04965,0.0922,0.11348,0.0,0.0
roseivirga seohaensis,1566026;1914963,Roseivirga seohaensis subsp. aquiponti;Roseivirga seohaensis,1,0,nirK_only,WP_053222042.1,NA,1,364,38922.96,5.155,-0.086,0.07692,0.07143,0.00549,0.0467,0.06319,0.04396,0.11538,0.02198,0.0522,0.05769,0.06868,0.03846,0.06044,0.06593,0.02747,0.01923,0.0467,0.06044,0.10165,0.00275,0.03022,,,,,,,,,,,,,,,,,,,,,,,,,
nitrospira moscoviensis,42253,Nitrospira moscoviensis,1,0,nirK_only,WP_053378018.1,NA,1,318,34099.46,5.897,-0.016,0.09434,0.08176,0.00943,0.03774,0.06289,0.06604,0.11321,0.04717,0.04088,0.04403,0.06604,0.02516,0.04088,0.08176,0.01572,0.0283,0.04717,0.05975,0.10377,0.00629,0.02201,,,,,,,,,,,,,,,,,,,,,,,,,
ardenticatena maritima,872965,Ardenticatena maritima,1,0,nirK_only,WP_054492073.1,NA,1,348,37423.1,5.071,-0.098,0.08046,0.06897,0.00575,0.04885,0.07184,0.0431,0.11494,0.03448,0.0431,0.0431,0.07471,0.02586,0.03161,0.08046,0.02874,0.02874,0.02874,0.08046,0.1092,0.00287,0.03448,,,,,,,,,,,,,,,,,,,,,,,,,
stenotrophomonas acidaminiphila,128780;128780;2775920;3051123;40323;128780;2920383;3384161;3469992;40323,Stenotrophomonas acidaminiphila,1,1,both,WP_054667998.1,WP_456116670.1,1,342,37119.66,5.658,-0.164,0.09942,0.0848,0.00292,0.04386,0.07602,0.0614,0.11111,0.04386,0.05263,0.06433,0.05848,0.02339,0.03216,0.0614,0.03216,0.02047,0.03801,0.0614,0.09357,0.00292,0.03509,125,13201.21,6.284,0.1176,0.032,0.12,0.0,0.048,0.072,0.024,0.112,0.024,0.016,0.048,0.128,0.048,0.008,0.048,0.024,0.064,0.056,0.04,0.112,0.008,0.0
flavobacterium aquidurense,362413,Flavobacterium aquidurense,1,0,nirK_only,WP_055098276.1,NA,1,358,38717.93,6.605,-0.1564,0.0838,0.05587,0.00559,0.02793,0.06983,0.04469,0.11732,0.03073,0.05307,0.07263,0.07263,0.03352,0.06145,0.06145,0.02235,0.01955,0.05028,0.06425,0.09777,0.00279,0.03631,,,,,,,,,,,,,,,,,,,,,,,,,
lacinutrix algicola,342954,Lacinutrix algicola,1,0,nirK_only,WP_055436887.1,NA,1,363,39230.39,5.596,-0.122,0.07989,0.06061,0.00551,0.04408,0.07438,0.04683,0.11846,0.0303,0.04959,0.06612,0.08264,0.03306,0.04959,0.0551,0.01928,0.02479,0.04408,0.06612,0.09642,0.00275,0.0303,,,,,,,,,,,,,,,,,,,,,,,,,
lacinutrix himadriensis,641549,Lacinutrix himadriensis,1,0,nirK_only,WP_055442395.1,NA,1,363,39570.09,5.611,-0.1375,0.07989,0.06061,0.00551,0.04683,0.07989,0.04408,0.1157,0.0303,0.06061,0.06887,0.06612,0.04408,0.04132,0.06336,0.01653,0.0303,0.03306,0.05785,0.09917,0.00275,0.03306,,,,,,,,,,,,,,,,,,,,,,,,,
sphaerimonospora mesophila,37483,Sphaerimonospora mesophila,1,0,nirK_only,WP_055482671.1,NA,1,317,33988.2,6.17,-0.1852,0.07256,0.10726,0.00315,0.05047,0.05047,0.0347,0.12618,0.03785,0.03785,0.01893,0.0694,0.0347,0.01577,0.07571,0.04732,0.06625,0.02839,0.0694,0.08833,0.01262,0.02524,,,,,,,,,,,,,,,,,,,,,,,,,
nonomuraea pusilla,46177,Nonomuraea pusilla,1,0,nirK_only,WP_055502683.1,NA,1,318,33975.22,6.601,-0.1447,0.07547,0.12264,0.00314,0.04717,0.0566,0.04088,0.12579,0.03459,0.02201,0.01572,0.0566,0.0283,0.00943,0.08176,0.04088,0.08176,0.02201,0.0566,0.1195,0.01258,0.02201,,,,,,,,,,,,,,,,,,,,,,,,,
stenotrophomonas nitritireducens,1736233;40323;83617;83617,Stenotrophomonas nitritireducens,1,0,nirK_only,WP_055766703.1,NA,1,342,37061.63,5.682,-0.1623,0.09942,0.08772,0.00292,0.04386,0.0731,0.06433,0.11111,0.04094,0.05263,0.06433,0.05848,0.02339,0.03509,0.06433,0.03509,0.02047,0.03509,0.0614,0.09064,0.00292,0.03216,,,,,,,,,,,,,,,,,,,,,,,,,
unclassified brevundimonas,1736462;1736569;2622653;1871086;1946127;2622653;1871086;1946133;2622653;1871086;1946136;2622653;1871086;2622653;3363952;3363953;3363954;3390552;1871086;2622653;3369436;2622653;2804591;2804655;2804659;2622653;3345564;3345566;3345570;2622653;3363955;3390555;3390556;3390558,unclassified Brevundimonas;Brevundimonas sp. NPDC055300;Brevundimonas sp. NPDC055311;Brevundimonas sp. NPDC055320,1,1,both,WP_055829730.1,WP_292055808.1,1,313,33447.29,4.763,-0.0374,0.07987,0.08946,0.00319,0.04473,0.07029,0.03514,0.10224,0.02875,0.04473,0.02556,0.06709,0.02556,0.05112,0.07029,0.02556,0.03195,0.04473,0.07668,0.11821,0.00319,0.04153,137,13875.05,6.392,0.3606,0.0292,0.16788,0.0219,0.05109,0.0292,0.0146,0.10949,0.0292,0.0219,0.0438,0.10219,0.05109,0.0146,0.06569,0.0219,0.0292,0.0438,0.06569,0.10219,0.0073,0.0073
unclassified rhodanobacter,1524462;1524463;1524464;2621553;3454842;1736542;1736572;2621553;1945855;1945856;1945858;2621553;2621553;2766737;3454846;2621553;2838834;2838835;2621553;3351461;3351462;3459585;3459590;2621553;3459585;3459590;2621553;3459586;3459587;3459588;3459591;3459593;3459594;3459595;3459596;2621553;3459586;3459591;3459595;2621553;3459587;3459588;3459593;3459594;3459596,Rhodanobacter sp. FW510-R10;Rhodanobacter sp. FW106-PBR-LB-2-11;Rhodanobacter sp. FW104-R8;unclassified Rhodanobacter;Rhodanobacter sp. FW106-PBR-LB-1-21,1,1,both,WP_068097354.1,WP_068096985.1,1,376,40017.79,5.695,-0.1024,0.08777,0.0984,0.00532,0.04521,0.05585,0.04521,0.10372,0.04255,0.05053,0.04521,0.05585,0.0266,0.03457,0.08245,0.02394,0.02394,0.06649,0.05851,0.09309,0.00266,0.03989,129,13415.28,8.125,0.1341,0.04651,0.17829,0.0,0.07752,0.00775,0.0155,0.08527,0.03876,0.00775,0.03876,0.10853,0.05426,0.0155,0.04651,0.0155,0.05426,0.06977,0.06202,0.09302,0.00775,0.02326
rhodanobacter ginsenosidimutans,1736542;490571;75309;490571,Rhodanobacter ginsenosidimutans,1,1,both,WP_377338549.1,WP_377340722.1,1,373,39626.5,5.613,-0.0729,0.08311,0.10724,0.00536,0.0429,0.05898,0.0429,0.10456,0.0429,0.04826,0.04558,0.06702,0.02681,0.03485,0.08311,0.02681,0.02145,0.05094,0.06166,0.08847,0.00268,0.03753,128,13281.1,6.347,0.2094,0.04688,0.17969,0.0,0.04688,0.03125,0.01562,0.07031,0.05469,0.00781,0.03125,0.10938,0.05469,0.01562,0.05469,0.00781,0.03125,0.07031,0.10156,0.08594,0.00781,0.02344
unclassified roseateles,1736434;2626991;3232664;3232668;1736529;1736580;2626991;2626991;3232385;3232514;2626991;3232670;3232671;2626991;3350177;3416698,unclassified Roseateles;Roseateles sp. UC29_93;Mitsuaria sp. MSU3D,1,1,both,WP_056273190.1,WP_377153787.1,1,354,37600.81,6.909,0.0545,0.08757,0.11017,0.00282,0.04237,0.04802,0.05367,0.11017,0.03107,0.0452,0.05932,0.08475,0.02542,0.02542,0.07345,0.03107,0.02825,0.04802,0.0565,0.0904,0.00282,0.03107,134,14451.8,9.005,0.0261,0.04478,0.12687,0.0,0.05224,0.04478,0.02985,0.07463,0.03731,0.03731,0.07463,0.09701,0.05224,0.00746,0.06716,0.04478,0.03731,0.01493,0.08955,0.09701,0.00746,0.00746
